overall_rank,player_id,player,position,projected_points,uncertainty,rookie,model,draft_pick,draft_round,replacement_points,vorp,floor,ceiling,position_rank,pos_rank
31,00-0041069,Colbie Young,WR,60.82289387567987,37.616773515528266,True,rookie_prior,140.0,4.0,14.511237032634035,46.31165684304583,12.673423775803684,108.97236397555605,22,WR22
32,00-0041052,Kaelon Black,RB,73.19205003962709,52.74532974456399,True,rookie_prior,90.0,3.0,27.877721946608947,45.31432809301815,5.678027966585191,140.706072112669,4,RB4
33,00-0041397,Kaden Wetjen,WR,58.76523908658007,45.28066251565248,True,rookie_prior,121.0,4.0,14.511237032634035,44.25400205394603,0.805991066544891,116.72448710661524,23,WR23
34,00-0041565,Drew Allar,QB,64.14858141847049,57.647594194453944,True,rookie_prior,76.0,3.0,20.300755349539358,43.84782606893113,0.0,137.93750198737155,5,QB5
35,00-0041104,Demond Claiborne,RB,67.03167163347763,40.18425589819227,True,rookie_prior,198.0,6.0,27.877721946608947,39.153949686868685,15.59582408379152,118.46751918316374,5,RB5
36,00-0040888,Adam Randall,RB,66.83680965512269,48.234038895796935,True,rookie_prior,174.0,5.0,27.877721946608947,38.95908770851375,5.097239868502612,128.57637944174277,6,RB6
37,00-0041048,Ted Hurst III,WR,53.25531501587303,39.16146646783916,True,rookie_prior,84.0,3.0,14.511237032634035,38.744077983238995,3.128637937038903,103.38199209470716,24,WR24
38,00-0040890,Cyrus Allen,WR,52.67803510966808,50.922068169237036,True,rookie_prior,176.0,5.0,14.511237032634035,38.166798077034045,0.0,117.85828236629149,25,WR25
39,00-0041561,Carson Beck,QB,57.001100419691504,56.816243706403824,True,rookie_prior,65.0,3.0,20.300755349539358,36.700345070152146,0.0,129.7258923638884,6,QB6
40,00-0041443,Skyler Bell,WR,50.39033213530909,40.63662490050749,True,rookie_prior,125.0,4.0,14.511237032634035,35.87909510267505,0.0,102.40521200795868,26,WR26
41,00-0041070,Reggie Virgil,WR,47.67112829159733,46.40941843694865,True,rookie_prior,143.0,5.0,14.511237032634035,33.15989125896329,0.0,107.0751838908916,27,WR27
42,00-0041503,Nate Boerkircher,TE,65.10122648119854,47.110116463965795,True,rookie_prior,56.0,2.0,34.90076121701828,30.20046526418026,4.800277407322319,125.40217555507476,3,TE3
43,00-0041472,Marlin Klein,TE,65.04425887513793,48.80652788828474,True,rookie_prior,59.0,2.0,34.90076121701828,30.14349765811965,2.5719031781334607,127.5166145721424,4,TE4
44,00-0041013,Emmett Johnson,RB,57.8072248975469,49.66253828191657,True,rookie_prior,161.0,5.0,27.877721946608947,29.929502950937955,0.0,121.37527389840011,7,RB7
45,00-0041525,Chris Bell,WR,44.37406832887377,32.937074497272384,True,rookie_prior,94.0,3.0,14.511237032634035,29.862831296239733,2.214612972365117,86.53352368538242,28,WR28
46,00-0041579,Seydou Traore,TE,64.13071095404592,55.49953097197836,True,rookie_prior,180.0,5.0,34.90076121701828,29.229949737027646,0.0,135.1701105981782,5,TE5
47,00-0040876,Elijah Sarratt,WR,40.77715107070708,30.1376537023354,True,rookie_prior,115.0,4.0,14.511237032634035,26.265914038073042,2.2009543317177673,79.35334780969639,29,WR29
48,00-0041056,Cade Klubnik,QB,46.11496548307248,37.652092575223136,True,rookie_prior,110.0,4.0,20.300755349539358,25.814210133533123,0.0,94.3096439793581,7,QB7
49,00-0041099,Barion Brown,WR,37.559186688311705,35.111111321688966,True,rookie_prior,190.0,6.0,14.511237032634035,23.04794965567767,0.0,82.50140918007358,30,WR30
50,00-0041510,Max Klare,TE,57.46056333789739,45.71553035102741,True,rookie_prior,61.0,2.0,34.90076121701828,22.559802120879112,0.0,115.97644218721248,6,TE6
51,00-0040878,Mike Washington Jr.,RB,50.38751539682543,40.25589133683551,True,rookie_prior,122.0,4.0,27.877721946608947,22.50979345021648,0.0,101.91505630797488,8,RB8
52,00-0041041,Oscar Delp,TE,51.10683114164923,38.69455225463726,True,rookie_prior,73.0,3.0,34.90076121701828,16.206069924630953,1.5778042557135379,100.63585802758493,7,TE7
53,00-0041558,Sam Roush,TE,50.62037284104785,36.15458872429166,True,rookie_prior,69.0,3.0,34.90076121701828,15.719611624029575,4.342499273954523,96.89824640814118,8,TE8
54,00-0040886,Nicholas Singleton,RB,42.167356194361204,50.78694260439546,True,rookie_prior,165.0,5.0,27.877721946608947,14.289634247752257,0.0,107.1746427279874,9,RB9
55,00-0041125,Seth McGowan,RB,40.7306755945166,28.91514906147499,True,rookie_prior,237.0,7.0,27.877721946608947,12.85295364790765,3.7192847958286066,77.7420663932046,10,RB10
56,00-0041100,Josh Cameron,WR,26.427338731712716,28.94051788990428,True,rookie_prior,191.0,6.0,14.511237032634035,11.91610169907868,0.0,63.4712016307902,31,WR31
57,00-0041395,Eli Raridon,TE,45.233156456412864,31.41475359125942,True,rookie_prior,95.0,3.0,34.90076121701828,10.332395239394586,5.0222718596008065,85.44404105322492,9,TE9
58,00-0041467,Lewis Bond,WR,23.66155691919192,15.34202302106191,True,rookie_prior,204.0,6.0,14.511237032634035,9.150319886557885,4.023767452232676,43.299346386151164,32,WR32
59,00-0041096,Kaytron Allen,RB,36.893492176323704,32.99880683014321,True,rookie_prior,187.0,6.0,27.877721946608947,9.015770229714757,0.0,79.13196491890702,11,RB11
60,00-0041081,Max Bredeson,RB,35.4916074087024,36.65059077408595,True,rookie_prior,159.0,5.0,27.877721946608947,7.613885462093453,0.0,82.40436359953242,12,RB12
61,00-0040879,Matthew Hibner,TE,40.636078259629265,35.262499662508645,True,rookie_prior,133.0,4.0,34.90076121701828,5.735317042610987,0.0,85.77207782764033,10,TE10
62,00-0040895,Emmanuel Henderson Jr.,WR,19.80574841125541,14.944056810841648,True,rookie_prior,199.0,6.0,14.511237032634035,5.294511378621376,0.6773556933781002,38.934141129132726,33,WR33
63,00-0040887,Josh Cuevas,TE,39.02403446853149,38.11107834703424,True,rookie_prior,173.0,5.0,34.90076121701828,4.123273251513211,0.0,87.80621475273531,11,TE11
64,00-0041106,C.J. Williams,WR,18.32801013924963,13.14112689728309,True,rookie_prior,203.0,6.0,14.511237032634035,3.816773106615596,1.5073677107272765,35.14865256777199,34,WR34
65,00-0041399,CJ Daniels,WR,18.267074565656568,14.644827399736867,True,rookie_prior,197.0,6.0,14.511237032634035,3.7558375330225324,0.0,37.01245363731976,35,WR35
66,00-0040906,Garrett Nussmeier,QB,22.486141044733035,20.701725429127265,True,rookie_prior,249.0,7.0,20.300755349539358,2.185385695193677,0.0,48.98434959401594,8,QB8
67,00-0041117,Athan Kaliakmanis,QB,21.020284091464084,20.3865088198216,True,rookie_prior,223.0,7.0,20.300755349539358,0.7195287419247265,0.0,47.11501538083573,9,QB9
68,00-0041524,Will Kacmarek,TE,34.90076121701828,30.968227090747572,True,rookie_prior,87.0,3.0,34.90076121701828,0.0,0.0,74.54009189317517,12,TE12
69,00-0041490,Eli Heidenreich,RB,27.877721946608947,22.400563451101405,True,rookie_prior,230.0,7.0,27.877721946608947,0.0,0.0,56.550443164018745,13,RB13
70,00-0041123,Behren Morton,QB,20.300755349539358,20.55020699793439,True,rookie_prior,234.0,7.0,20.300755349539358,0.0,0.0,46.605020306895376,10,QB10
71,00-0040900,Anthony Smith,WR,14.511237032634035,13.22501030429292,True,rookie_prior,218.0,7.0,14.511237032634035,0.0,0.0,31.439250222128976,36,WR36
72,00-0041087,Joe Royer,TE,33.72452575036074,23.608498728332208,True,rookie_prior,170.0,5.0,34.90076121701828,-1.1762354666575376,3.5056473780955137,63.943404122625964,13,TE13
73,00-0041077,Justin Joly,TE,31.978449602397603,24.093441516324937,True,rookie_prior,152.0,5.0,34.90076121701828,-2.922311614620675,1.1388444615016837,62.81805474329352,14,TE14
74,00-0041084,Tanner Koziol,TE,27.497674257076238,20.765220688100815,True,rookie_prior,164.0,5.0,34.90076121701828,-7.403086959942041,0.918191776307193,54.077156737845286,15,TE15
75,00-0041094,Bauer Sharp,TE,27.07175675491174,25.277164292099304,True,rookie_prior,185.0,6.0,34.90076121701828,-7.829004462106539,0.0,59.426527048798846,16,TE16
76,00-0041133,Dallen Bentley,TE,16.111539552447546,15.700839165658456,True,rookie_prior,256.0,7.0,34.90076121701828,-18.789221664570732,0.0,36.20861368449037,17,TE17
77,00-0041116,Jack Endries,TE,14.729265989565997,11.083692472669194,True,rookie_prior,221.0,7.0,34.90076121701828,-20.171495227452283,0.5421396245494297,28.916392354582563,18,TE18
78,00-0040901,Jaren Kanak,TE,12.38020019014318,12.16861264175312,True,rookie_prior,225.0,7.0,34.90076121701828,-22.5205610268751,0.0,27.956024371587173,19,TE19
79,00-0041131,Carsen Ryan,TE,9.020794139194141,10.810497882076534,True,rookie_prior,248.0,7.0,34.90076121701828,-25.879967077824137,0.0,22.858231428252104,20,TE20
